category,description,price,quantity,owner_id,name
PS5 Game,"Relive the classic tale of Cloud Strife and his allies in the highly acclaimed Final Fantasy VII Remake. Explore the city of Midgar, engage in thrilling combat, and experience a reimagined masterpiece. Like-new condition, a nostalgic journey awaits.",20,9,35,Final Fantasy VII Remake
PS4 Game,"Get ready for mayhem and loot galore in Borderlands 3! Join the Vault Hunters as they face off against the Calypso Twins and their cult followers. Blast through a variety of worlds, collect bazillions of guns, and unleash chaos with friends. Lightly used, but the loot is still plentiful.",10,15,29,Borderlands 3
PS5 Game,"Get ready for mayhem and loot galore in Borderlands 3! Join the Vault Hunters as they face off against the Calypso Twins and their cult followers. Blast through a variety of worlds, collect bazillions of guns, and unleash chaos with friends. Lightly used, but the loot is still plentiful.",20,2,23,Borderlands 3 Ultimate Edition
Xbox One Game,"Get ready for mayhem and loot galore in Borderlands 3! Join the Vault Hunters as they face off against the Calypso Twins and their cult followers. Blast through a variety of worlds, collect bazillions of guns, and unleash chaos with friends. Lightly used, but the loot is still plentiful.",10,15,33,Borderlands 3
Xbox Series X Game,"Get ready for mayhem and loot galore in Borderlands 3! Join the Vault Hunters as they face off against the Calypso Twins and their cult followers. Blast through a variety of worlds, collect bazillions of guns, and unleash chaos with friends. Lightly used, but the loot is still plentiful.",20,11,31,Borderlands 3 Ultimate Edition
PS4 Game,"Enter the dark realm of Mordor in Middle-earth: Shadow of Mordor. Wage war against Sauron's forces, harness the power of the wraith, and forge your own legend. Pre-loved, but the shadows still hold many secrets.",15,5,28,Middle-earth: Shadow of Mordor
Xbox One Game,"Enter the dark realm of Mordor in Middle-earth: Shadow of Mordor. Wage war against Sauron's forces, harness the power of the wraith, and forge your own legend. Pre-loved, but the shadows still hold many secrets.",15,13,34,Middle-earth: Shadow of Mordor
PS4 Game,"Continue the fight against the dark lord in Middle-earth: Shadow of War. Build an army, conquer fortresses, and challenge Sauron's rule in this epic sequel. Used copy, but the war for Mordor is far from over.",20,12,31,Middle-earth: Shadow of War
Xbox One Game,"Continue the fight against the dark lord in Middle-earth: Shadow of War. Build an army, conquer fortresses, and challenge Sauron's rule in this epic sequel. Used copy, but the war for Mordor is far from over.",20,19,23,Middle-earth: Shadow of War
PS4 Game,"Join Lara Croft on her most perilous adventure yet in Shadow of the Tomb Raider. Explore ancient ruins, solve intricate puzzles, and uncover the secrets of an ancient apocalypse. Gently used, but the thrill of discovery still awaits.",15,7,35,Shadow of the Tomb Raider
Xbox One Game,"Join Lara Croft on her most perilous adventure yet in Shadow of the Tomb Raider. Explore ancient ruins, solve intricate puzzles, and uncover the secrets of an ancient apocalypse. Gently used, but the thrill of discovery still awaits.",15,17,23,Shadow of the Tomb Raider
PS4 Game,"Get ready for stylish demon-slaying action in Devil May Cry 5. Play as Nero, Dante, and newcomer V as they battle against the demonic invasion in Red Grave City. Lightly used, but the devilish combat is as intense as ever.",25,13,32,Devil May Cry 5
PS5 Game,"Get ready for stylish demon-slaying action in Devil May Cry 5. Play as Nero, Dante, and newcomer V as they battle against the demonic invasion in Red Grave City. Lightly used, but the devilish combat is as intense as ever.",25,10,29,Devil May Cry 5 Special Edition
Xbox One Game,"Get ready for stylish demon-slaying action in Devil May Cry 5. Play as Nero, Dante, and newcomer V as they battle against the demonic invasion in Red Grave City. Lightly used, but the devilish combat is as intense as ever.",25,10,34,Devil May Cry 5
Xbox Series X Game,"Get ready for stylish demon-slaying action in Devil May Cry 5. Play as Nero, Dante, and newcomer V as they battle against the demonic invasion in Red Grave City. Lightly used, but the devilish combat is as intense as ever.",25,16,29,Devil May Cry 5 Special Edition
PS4 Game,"Immerse yourself in the stylish world of Persona 5. Lead the Phantom Thieves as they steal hearts and change society in this captivating JRPG. Used copy, but the bonds forged are stronger than ever.",25,1,30,Persona 5
PS4 Game,"Experience the enhanced version of Persona 5 in Persona 5 Royal. Uncover new storylines, explore additional areas, and forge deeper connections with your fellow Phantom Thieves. Like-new condition, a royal adventure awaits.",40,2,26,Persona 5 Royal
PS5 Game,"Experience the enhanced version of Persona 5 in Persona 5 Royal. Uncover new storylines, explore additional areas, and forge deeper connections with your fellow Phantom Thieves. Like-new condition, a royal adventure awaits.",40,7,25,Persona 5 Royal
Xbox Series X Game,"Experience the enhanced version of Persona 5 in Persona 5 Royal. Uncover new storylines, explore additional areas, and forge deeper connections with your fellow Phantom Thieves. Like-new condition, a royal adventure awaits.",40,18,35,Persona 5 Royal
Xbox One Game,"Experience the enhanced version of Persona 5 in Persona 5 Royal. Uncover new storylines, explore additional areas, and forge deeper connections with your fellow Phantom Thieves. Like-new condition, a royal adventure awaits.",40,9,24,Persona 5 Royal
Switch Game,"Experience the enhanced version of Persona 5 in Persona 5 Royal. Uncover new storylines, explore additional areas, and forge deeper connections with your fellow Phantom Thieves. Like-new condition, a royal adventure awaits.",40,12,25,Persona 5 Royal
PS5 Game,"Dive into the enigmatic world of Persona 3 in Persona 3 Reload. Form bonds, battle shadows, and unravel the mysteries of the Dark Hour. Used copy, but the journey of self-discovery is as profound as ever.",20,16,23,Persona 3 Reload
PS4 Game,"Dive into the enigmatic world of Persona 3 in Persona 3 Reload. Form bonds, battle shadows, and unravel the mysteries of the Dark Hour. Used copy, but the journey of self-discovery is as profound as ever.",20,20,26,Persona 3 Reload
Xbox Series X Game,"Dive into the enigmatic world of Persona 3 in Persona 3 Reload. Form bonds, battle shadows, and unravel the mysteries of the Dark Hour. Used copy, but the journey of self-discovery is as profound as ever.",20,16,37,Persona 3 Reload
Xbox One Game,"Dive into the enigmatic world of Persona 3 in Persona 3 Reload. Form bonds, battle shadows, and unravel the mysteries of the Dark Hour. Used copy, but the journey of self-discovery is as profound as ever.",20,5,29,Persona 3 Reload
PS4 Game,"Become a Jedi on the run in Star Wars Jedi: Fallen Order. Set after the events of Order 66, embark on a quest to rebuild the Jedi Order while evading the Empire's relentless pursuit. Lightly used, but the Force is strong with this one.",20,13,32,Star Wars Jedi: Fallen Order
Xbox Series X Game,"Become a Jedi on the run in Star Wars Jedi: Fallen Order. Set after the events of Order 66, embark on a quest to rebuild the Jedi Order while evading the Empire's relentless pursuit. Lightly used, but the Force is strong with this one.",20,20,37,Star Wars Jedi: Fallen Order
PS5 Game,"Become a Jedi on the run in Star Wars Jedi: Fallen Order. Set after the events of Order 66, embark on a quest to rebuild the Jedi Order while evading the Empire's relentless pursuit. Lightly used, but the Force is strong with this one.",20,8,30,Star Wars Jedi: Fallen Order
Xbox One Game,"Become a Jedi on the run in Star Wars Jedi: Fallen Order. Set after the events of Order 66, embark on a quest to rebuild the Jedi Order while evading the Empire's relentless pursuit. Lightly used, but the Force is strong with this one.",20,14,36,Star Wars Jedi: Fallen Order
PS5 Game,"Survive the harsh trials of the galaxy in Star Wars Jedi: Survivor. Stranded on a hostile planet, use the Force to overcome dangers and uncover the secrets of a forgotten civilization. Brand new copy, the path to survival awaits.",40,5,28,Star Wars Jedi: Survivor
Xbox Series X Game,"Survive the harsh trials of the galaxy in Star Wars Jedi: Survivor. Stranded on a hostile planet, use the Force to overcome dangers and uncover the secrets of a forgotten civilization. Brand new copy, the path to survival awaits.",40,1,27,Star Wars Jedi: Survivor
PS4 Game,"Relive the chaos of World War I in Battlefield 1. Engage in massive battles across land, air, and sea as you witness the dawn of modern warfare. Pre-loved, but the battles are as intense as ever.",20,4,37,Battlefield 1
Xbox One Game,"Relive the chaos of World War I in Battlefield 1. Engage in massive battles across land, air, and sea as you witness the dawn of modern warfare. Pre-loved, but the battles are as intense as ever.",20,12,33,Battlefield 1
PS4 Game,"Embark on a journey to a new galaxy in Mass Effect: Andromeda. Explore uncharted worlds, build alliances, and uncover the mysteries of the Andromeda Initiative. Used copy, but the quest for humanity's future continues.",10,10,26,Mass Effect: Andromeda
Xbox One Game,"Embark on a journey to a new galaxy in Mass Effect: Andromeda. Explore uncharted worlds, build alliances, and uncover the mysteries of the Andromeda Initiative. Used copy, but the quest for humanity's future continues.",10,4,35,Mass Effect: Andromeda
Xbox Series X Game,"Experience the epic saga of Commander Shepard in the Mass Effect Legendary Edition. Remastered with updated visuals and gameplay improvements, relive the iconic trilogy like never before. Like-new condition, the galaxy awaits your command.",50,11,29,Mass Effect Legendary Edition
Xbox One Game,"Experience the epic saga of Commander Shepard in the Mass Effect Legendary Edition. Remastered with updated visuals and gameplay improvements, relive the iconic trilogy like never before. Like-new condition, the galaxy awaits your command.",50,19,29,Mass Effect Legendary Edition
PS4 Game,"Experience the epic saga of Commander Shepard in the Mass Effect Legendary Edition. Remastered with updated visuals and gameplay improvements, relive the iconic trilogy like never before. Like-new condition, the galaxy awaits your command.",50,14,36,Mass Effect Legendary Edition
PS4 Game,"Dive into a dystopian future in NieR: Automata. Play as androids 2B, 9S, and A2 as they battle against machine lifeforms in a war for survival. Slightly used, but the existential journey is unforgettable.",20,18,32,NieR: Automata
Xbox One Game,"Dive into a dystopian future in NieR: Automata. Play as androids 2B, 9S, and A2 as they battle against machine lifeforms in a war for survival. Slightly used, but the existential journey is unforgettable.",20,8,34,NieR: Automata
Switch Game,"Dive into a dystopian future in NieR: Automata. Play as androids 2B, 9S, and A2 as they battle against machine lifeforms in a war for survival. Slightly used, but the existential journey is unforgettable.",20,7,21,NieR: Automata
PS4 Game,"Experience the prequel to NieR: Automata in NieR Replicant ver.1.22474487139... Rediscover the origins of the NieR series with updated visuals and new content. Factory sealed, embark on an emotional odyssey through a shattered world.",40,2,32,"NieR Replicant ver.1.22474487139...
"
Xbox One Game,"Experience the prequel to NieR: Automata in NieR Replicant ver.1.22474487139... Rediscover the origins of the NieR series with updated visuals and new content. Factory sealed, embark on an emotional odyssey through a shattered world.",40,5,27,"NieR Replicant ver.1.22474487139...
"
PS4 Game,"Join the hacker group DedSec and take on the surveillance state in Watch Dogs 2. Explore a vibrant open-world rendition of San Francisco, hack into systems, and expose corporate corruption. Gently used, but the fight for freedom in the digital age is far from over.",15,16,31,Watch Dogs 2
Xbox One Game,"Join the hacker group DedSec and take on the surveillance state in Watch Dogs 2. Explore a vibrant open-world rendition of San Francisco, hack into systems, and expose corporate corruption. Gently used, but the fight for freedom in the digital age is far from over.",15,7,23,Watch Dogs 2
PS4 Game,"Enter the world of cyber espionage in Watch Dogs. Play as Aiden Pearce, a skilled hacker seeking justice in a city controlled by technology. Pre-loved, but the power to manipulate the city is still at your fingertips.",20,14,28,Watch Dogs
Xbox One Game,"Enter the world of cyber espionage in Watch Dogs. Play as Aiden Pearce, a skilled hacker seeking justice in a city controlled by technology. Pre-loved, but the power to manipulate the city is still at your fingertips.",20,2,30,Watch Dogs
PS4 Game,"Join Nathan Drake on his final adventure in Uncharted 4: A Thief's End. Explore exotic locations, uncover hidden treasures, and face off against ruthless enemies in this action-packed journey. Lightly used, but the thrill of discovery still beckons.",25,6,26,Uncharted 4: A Thief's End
PS4 Game,"Fight to save what remains of Washington D.C. in The Division 2. Join the ranks of the Strategic Homeland Division and restore order in a post-pandemic world. Used copy, but the fight for survival continues.",10,7,28,The Division 2
Xbox One Game,"Fight to save what remains of Washington D.C. in The Division 2. Join the ranks of the Strategic Homeland Division and restore order in a post-pandemic world. Used copy, but the fight for survival continues.",10,19,29,The Division 2
Xbox Series X Game,"Gear up for intense third-person shooter action in Gears 5. Join Kait Diaz on her quest to uncover the truth about her family's past and save humanity from an insidious threat. Like-new condition, the battle against the Swarm rages on.",20,12,32,Gears 5
Switch Game,"Immerse yourself in the complete saga of the Dark Knight with the Batman Arkham Trilogy for Nintendo Switch. Battle iconic villains, solve intricate puzzles, and uncover the secrets of Arkham Asylum, Arkham City, and Arkham Knight. Whether you're gliding through Gotham as Batman, delivering justice as the Caped Crusader, or facing off against the Joker, this bundle offers the ultimate Batman experience on the go. Brand new, Gotham's fate is in your hands.",60,6,28,Batman: Arkham Trilogy
PS4 Game," Descend into madness in Batman: Arkham Asylum. Become the Dark Knight and navigate the iconic psychiatric hospital overrun by Gotham's most notorious villains. Pre-loved, but the shadows hold many secrets.",15,9,36,Batman: Arkham Asylum
Xbox One Game," Descend into madness in Batman: Arkham Asylum. Become the Dark Knight and navigate the iconic psychiatric hospital overrun by Gotham's most notorious villains. Pre-loved, but the shadows hold many secrets.",15,13,26,Batman: Arkham Asylum
PS4 Game,"Take to the streets of Gotham in Batman: Arkham City. Explore a sprawling open-world prison city and confront classic foes in this critically acclaimed sequel. Slightly used, but the night is still young for justice.",15,20,28,Batman: Arkham City
Xbox One Game,"Take to the streets of Gotham in Batman: Arkham City. Explore a sprawling open-world prison city and confront classic foes in this critically acclaimed sequel. Slightly used, but the night is still young for justice.",15,15,28,Batman: Arkham City
PS4 Game,"Protect Gotham from the forces of darkness in Batman: Arkham Knight. Suit up as the Caped Crusader and face off against the enigmatic Arkham Knight in the epic conclusion to the Arkham series. Gently used, but the night is darkest just before the dawn.",15,15,32,Batman: Arkham Knight
Xbox One Game,"Protect Gotham from the forces of darkness in Batman: Arkham Knight. Suit up as the Caped Crusader and face off against the enigmatic Arkham Knight in the epic conclusion to the Arkham series. Gently used, but the night is darkest just before the dawn.",15,11,31,Batman: Arkham Knight
PS4 Game,"Experience the harrowing sequel to The Last of Us in The Last of Us Part II. Join Ellie on a journey of revenge and redemption in a world ravaged by infection and human cruelty. Like-new condition, the cost of survival has never been higher.",40,9,22,The Last of Us Part II
PS5 Game,"Experience the harrowing sequel to The Last of Us in The Last of Us Part II. Join Ellie on a journey of revenge and redemption in a world ravaged by infection and human cruelty. Like-new condition, the cost of survival has never been higher.",40,19,23,The Last of Us Part II Remastered
PS4 Game,"Embark on an emotional journey through a post-apocalyptic America in The Last of Us. Follow Joel and Ellie as they navigate a world overrun by infected and desperate survivors. Used copy, but the bond between Joel and Ellie is unbreakable.",15,12,28,The Last of Us Part I Remastered
PS5 Game,"Embark on an emotional journey through a post-apocalyptic America in The Last of Us. Follow Joel and Ellie as they navigate a world overrun by infected and desperate survivors. Used copy, but the bond between Joel and Ellie is unbreakable.",15,15,22,The Last of Us Part I Remake
PS4 Game,"Enter the world of tactical multiplayer combat in Tom Clancy's Rainbow Six Siege. Team up with operators from around the globe and engage in intense close-quarters battles. Slightly used, but victory requires strategy and skill.",15,12,22,Tom Clancy's Rainbow Six Siege
PS5 Game,"Enter the world of tactical multiplayer combat in Tom Clancy's Rainbow Six Siege. Team up with operators from around the globe and engage in intense close-quarters battles. Slightly used, but victory requires strategy and skill.",15,6,24,Tom Clancy's Rainbow Six Siege: Deluxe Edition
Xbox One Game,"Enter the world of tactical multiplayer combat in Tom Clancy's Rainbow Six Siege. Team up with operators from around the globe and engage in intense close-quarters battles. Slightly used, but victory requires strategy and skill.",15,10,35,Tom Clancy's Rainbow Six Siege
Xbox Series X Game,"Enter the world of tactical multiplayer combat in Tom Clancy's Rainbow Six Siege. Team up with operators from around the globe and engage in intense close-quarters battles. Slightly used, but victory requires strategy and skill.",15,16,33,Tom Clancy's Rainbow Six Siege: Deluxe Edition
PS4 Game,"Journey to the breathtaking Himalayan region of Kyrat in Far Cry 4. Explore a vast open-world filled with danger and intrigue as you overthrow a ruthless dictator. Pre-loved, but the call of adventure echoes through the mountains.",10,7,30,Far Cry 4
Xbox One Game,"Journey to the breathtaking Himalayan region of Kyrat in Far Cry 4. Explore a vast open-world filled with danger and intrigue as you overthrow a ruthless dictator. Pre-loved, but the call of adventure echoes through the mountains.",10,19,27,Far Cry 4
PS4 Game,"Embark on a magical journey across Disney worlds in Kingdom Hearts III. Join Sora, Donald, and Goofy as they battle the darkness and search for their lost friends. Like-new condition, the power of friendship awaits.",20,15,22,Kingdom Hearts III
Xbox One Game,"Embark on a magical journey across Disney worlds in Kingdom Hearts III. Join Sora, Donald, and Goofy as they battle the darkness and search for their lost friends. Like-new condition, the power of friendship awaits.",20,6,32,Kingdom Hearts III
PS4 Game,"Raid, pillage, and conquer as a Viking in Assassin's Creed Valhalla. Lead your clan to glory in 9th century England and forge your own Viking saga. Gently used, but the age of the Vikings beckons.",35,7,23,Assassin's Creed Valhalla
